Date,Apple,Samsung,Xiaomi,Huawei,Unknown,Oppo,Motorola,Realme,Google,OnePlus,Vivo,Lenovo,Nokia,Sony,LG,Honor,Tecno,Infinix,Alcatel,ZTE,Asus,TCL,CAT,HTC,Nothing,Itel,Vodafone,bq,Wiko,Meizu,Other
2023-01,35.84,31.45,13.74,6.43,1.3,2.37,1.69,1.33,0.88,1.12,0.52,0.57,0.54,0.51,0.5,0.23,0.1,0.11,0.14,0.13,0.12,0.06,0.05,0.05,0,0.02,0.02,0.03,0.02,0.02,0.11
2023-02,34.81,31.62,14.05,6.39,1.38,2.43,1.74,1.35,1.21,1.08,0.53,0.58,0.55,0.5,0.5,0.25,0.13,0.12,0.14,0.13,0.12,0.06,0.05,0.05,0,0.02,0.03,0.03,0.02,0.01,0.11
2023-03,34.39,31.93,14.47,6.33,1.44,2.38,1.82,1.35,0.87,1.06,0.51,0.6,0.57,0.5,0.47,0.25,0.13,0.12,0.15,0.13,0.12,0.07,0.05,0.05,0,0.02,0.03,0.03,0.02,0.02,0.11
2023-04,36.52,31.01,13.87,6,1.57,2.34,1.73,1.29,0.85,0.99,0.52,0.58,0.54,0.47,0.43,0.24,0.14,0.13,0.15,0.13,0.11,0.07,0.05,0.05,0,0.02,0.03,0.03,0.02,0.02,0.1
2023-05,37.59,29.5,13.99,5.36,2.56,2.26,1.7,1.34,0.92,0.93,0.59,0.56,0.51,0.43,0.38,0.24,0.21,0.17,0.13,0.16,0.1,0.06,0.05,0.04,0.01,0.03,0.02,0.02,0.02,0.02,0.1
2023-06,34.22,30.49,13.51,5.3,4.83,2.25,1.82,1.43,1.28,1,0.6,0.56,0.54,0.46,0.35,0.3,0.18,0.16,0.12,0.11,0.1,0.06,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.1
2023-07,33.94,30.92,13.22,5.17,4.89,2.24,1.87,1.52,1.31,1,0.66,0.54,0.53,0.46,0.32,0.33,0.18,0.19,0.12,0.1,0.1,0.05,0.05,0.04,0.04,0.03,0.02,0.01,0.02,0.01,0.11
2023-08,33.8,31,13.43,4.99,4.95,2.32,1.85,1.57,1.21,0.99,0.66,0.53,0.53,0.44,0.32,0.34,0.19,0.18,0.1,0.11,0.1,0.05,0.05,0.04,0.05,0.03,0.02,0.01,0.02,0.01,0.09
2023-09,35.52,30.34,13.2,4.68,4.91,2.42,1.74,1.41,1.13,0.94,0.65,0.5,0.48,0.4,0.33,0.34,0.18,0.17,0.11,0.11,0.09,0.05,0.04,0.04,0.05,0.03,0.02,0.02,0.02,0.01,0.09
2023-10,35.28,30.67,13.7,4.52,3.9,2.48,1.92,1.49,1.32,0.95,0.62,0.5,0.45,0.4,0.35,0.4,0.19,0.18,0.12,0.1,0.1,0.09,0.05,0.03,0.05,0.03,0.02,0.02,0.01,0.01,0.08
2023-11,33.21,31.25,14.89,4.56,3.51,2.58,2.05,1.63,1.19,0.93,0.68,0.52,0.47,0.39,0.35,0.52,0.24,0.23,0.14,0.11,0.11,0.13,0.04,0.03,0.05,0.03,0.02,0.02,0.01,0.01,0.08
2023-12,33.3,31.43,15.02,4.38,3.13,2.58,2.1,1.63,1.26,0.96,0.72,0.51,0.44,0.38,0.35,0.56,0.25,0.23,0.13,0.11,0.11,0.13,0.04,0.03,0.06,0.03,0.01,0.01,0.01,0.01,0.08
2024-01,33.42,31.36,15.08,4.22,3.28,2.56,2.04,1.61,1.25,0.91,0.72,0.52,0.45,0.36,0.31,0.65,0.26,0.25,0.12,0.11,0.1,0.14,0.04,0.03,0.06,0.03,0.01,0.01,0.01,0.01,0.08
Average,34.7569230769231,30.9976923076923,14.0130769230769,5.25615384615385,3.20384615384615,2.40076923076923,1.85153846153846,1.45769230769231,1.12923076923077,0.989230769230769,0.613846153846154,0.543846153846154,0.507692307692308,0.438461538461538,0.381538461538462,0.357692307692308,0.183076923076923,0.172307692307692,0.128461538461538,0.118461538461538,0.106153846153846,0.0784615384615385,0.0469230769230769,0.04,0.0315384615384615,0.0269230769230769,0.0207692307692308,0.02,0.0169230769230769,0.0130769230769231,0.0953846153846154
